datetime,load_kw
 01/18  19:00:00,46.21888636409169
 01/18  20:00:00,40.9308820463885
 01/18  21:00:00,38.03312540075136
 01/18  22:00:00,36.464763974014176
 01/18  23:00:00,21.603550764090535
 01/18  24:00:00,20.122908155790526
 01/19  01:00:00,16.163712511941814
 01/19  02:00:00,16.002738920482273
 01/19  03:00:00,16.002738920482273
 01/19  04:00:00,16.002738920482273
 01/19  05:00:00,16.002738920482273
 01/19  06:00:00,16.002738920482273
 01/19  07:00:00,34.058219833331634
 01/19  08:00:00,48.366838433995746
 01/19  09:00:00,97.45070402593109
 01/19  10:00:00,91.35222324317303
 01/19  11:00:00,94.63993836794027
 01/19  12:00:00,101.76307771101472
 01/19  13:00:00,102.5965279129605
 01/19  14:00:00,110.80866397510674
 01/19  15:00:00,109.37380941683567
 01/19  16:00:00,110.82423582097815
 01/19  17:00:00,111.81874095352802
 01/19  18:00:00,79.13239413494618
 01/19  19:00:00,50.61296567176072
 01/19  20:00:00,43.86497023934435
 01/19  21:00:00,40.48760281852127
 01/19  22:00:00,39.07896347562029
 01/19  23:00:00,21.603550764090535
 01/19  24:00:00,20.122908155790526
 01/20  01:00:00,16.163712511941814
 01/20  02:00:00,16.002738920482273
 01/20  03:00:00,16.002738920482273
 01/20  04:00:00,16.002738920482273
 01/20  05:00:00,16.002738920482273
 01/20  06:00:00,16.002738920482273
 01/20  07:00:00,35.550396986138054
 01/20  08:00:00,50.58212801746707
 01/20  09:00:00,100.881150999629
 01/20  10:00:00,92.85096495591189
 01/20  11:00:00,94.76480362686607
 01/20  12:00:00,100.51295594178367
 01/20  13:00:00,96.67360532439066
 01/20  14:00:00,100.18536406429992
 01/20  15:00:00,96.96295739390605
 01/20  16:00:00,95.9972627584729
 01/20  17:00:00,96.81970490104423
 01/20  18:00:00,73.00836067777641
 01/20  19:00:00,46.75787849161247
 01/20  20:00:00,41.176602781683584
 01/20  21:00:00,38.109937105724505
 01/20  22:00:00,36.860607132941475
 01/20  23:00:00,21.603550764090535
 01/20  24:00:00,20.122908155790526
 01/21  01:00:00,13.038514687240195
 01/21  02:00:00,12.877565474876649
 01/21  03:00:00,12.877565474876649
 01/21  04:00:00,12.877565474876649
 01/21  05:00:00,12.877565474876649
 01/21  06:00:00,12.877565474876649
 01/21  07:00:00,33.030576937482
 01/21  08:00:00,34.95744126167069
 01/21  09:00:00,43.25336817369722
 01/21  10:00:00,46.50667485123311
 01/21  11:00:00,47.93720037792557
 01/21  12:00:00,53.979161031526175
 01/21  13:00:00,44.67562138359994
 01/21  14:00:00,43.4307395031184
 01/21  15:00:00,42.02494908367299
 01/21  16:00:00,40.974295167951276
 01/21  17:00:00,38.557803070639785
 01/21  18:00:00,29.77798546727744
 01/21  19:00:00,18.410195426701467
 01/21  20:00:00,13.745564687240194
 01/21  21:00:00,13.58461547487665
 01/21  22:00:00,13.58461547487665
 01/21  23:00:00,13.58461547487665
 01/21  24:00:00,13.58461547487665
 01/22  01:00:00,12.877565474876649
 01/22  02:00:00,12.877565474876649
 01/22  03:00:00,12.877565474876649
 01/22  04:00:00,12.877565474876649
 01/22  05:00:00,12.877565474876649
 01/22  06:00:00,12.877565474876649
 01/22  07:00:00,18.308313007508215
 01/22  08:00:00,12.989838218508357
 01/22  09:00:00,12.85800383695149
 01/22  10:00:00,19.963746371477544
 01/22  11:00:00,25.981627678863067
 01/22  12:00:00,26.640243157458382
 01/22  13:00:00,24.52131881201217
 01/22  14:00:00,25.918529648306002
 01/22  15:00:00,26.849201357454326
 01/22  16:00:00,25.755968133897156
 01/22  17:00:00,26.86646275207679
 01/22  18:00:00,24.272653868085765
 01/22  19:00:00,15.916364687240193
 01/22  20:00:00,13.58461547487665
 01/22  21:00:00,13.58461547487665
 01/22  22:00:00,13.58461547487665
 01/22  23:00:00,13.58461547487665
